init_value,remaining_value,remaining_norm,total_cost,cost_norm,objective,destruction,fires,time_s,size,scale,instance
158.0,9.0233,0.0571,3920.0,0.9584,0.0571,0.9429,61,0.566,30M_30N_10T,Large,16
167.0,24.2319,0.1451,3320.0,0.8342,0.1451,0.8549,54,0.561,30M_30N_10T,Large,17
154.0,44.7552,0.2906,3360.0,0.9032,0.2906,0.7094,53,0.557,30M_30N_10T,Large,18
167.0,37.4335,0.2242,2860.0,0.8314,0.2242,0.7758,58,0.565,30M_30N_10T,Large,19
147.0,12.112,0.0824,3660.0,0.9946,0.0824,0.9176,64,0.576,30M_30N_10T,Large,20
171.0,48.5254,0.2838,3160.0,0.8977,0.2838,0.7162,53,0.558,30M_30N_10T,Large,21
157.0,24.5441,0.1563,2780.0,0.9686,0.1563,0.8437,49,0.555,30M_30N_10T,Large,22
167.0,38.6309,0.2313,3100.0,0.9038,0.2313,0.7687,47,0.55,30M_30N_10T,Large,23
171.0,36.4755,0.2133,3420.0,0.9169,0.2133,0.7867,58,0.5637,30M_30N_10T,Large,24
176.0,36.7481,0.2088,3460.0,0.9584,0.2088,0.7912,61,0.569,30M_30N_10T,Large,25
178.0,20.2254,0.1136,3160.0,1.0,0.1136,0.8864,52,0.556,30M_30N_10T,Large,26
158.0,25.466,0.1612,3610.0,0.955,0.1612,0.8388,55,0.563,30M_30N_10T,Large,27
170.0,26.8318,0.1578,3790.0,0.9571,0.1578,0.8422,63,0.572,30M_30N_10T,Large,28
161.0,38.0989,0.2366,3430.0,0.9554,0.2366,0.7634,59,0.565,30M_30N_10T,Large,29
181.0,25.3188,0.1399,3450.0,0.9637,0.1399,0.8601,54,0.559,30M_30N_10T,Large,30
156.0,21.0712,0.1351,3830.0,0.9795,0.1351,0.8649,61,0.658,30M_30N_10T,Large,31
150.0,31.2516,0.2083,3140.0,0.9486,0.2083,0.7917,57,0.559,30M_30N_10T,Large,32
158.0,19.9586,0.1263,3870.0,0.9348,0.1263,0.8737,62,0.5655,30M_30N_10T,Large,33
183.0,49.8772,0.2726,3120.0,0.9541,0.2726,0.7274,55,0.749,30M_30N_10T,Large,34
188.0,24.1949,0.1287,3060.0,0.9684,0.1287,0.8713,50,0.746,30M_30N_10T,Large,35
164.0,28.2446,0.1722,3130.0,0.9456,0.1722,0.8278,52,0.749,30M_30N_10T,Large,36
