init_value,remaining_value,remaining_norm,total_cost,cost_norm,objective,destruction,fires,time_s,size,scale,instance,method
32.0,13.4607,0.4206,780.0,1.0,0.4206,0.5794,9,0.0,5M_5N_5T,Small,41,heuristic
33.0,8.8193,0.2673,550.0,1.0,0.2673,0.7327,9,0.0,5M_5N_5T,Small,42,heuristic
31.0,3.0744,0.0992,530.0,1.0,0.0992,0.9008,12,0.0,5M_5N_5T,Small,43,heuristic
34.0,4.4618,0.1312,640.0,1.0,0.1312,0.8688,10,0.0,5M_5N_5T,Small,44,heuristic
26.0,2.8298,0.1088,340.0,0.9444,0.1088,0.8912,9,0.0,5M_5N_5T,Small,45,heuristic
41.0,8.3654,0.204,360.0,1.0,0.204,0.796,7,0.0,5M_5N_5T,Small,46,heuristic
25.0,4.3096,0.1724,550.0,1.0,0.1724,0.8276,9,0.0,5M_5N_5T,Small,47,heuristic
27.0,7.5274,0.2788,400.0,1.0,0.2788,0.7212,10,0.0,5M_5N_5T,Small,48,heuristic
25.0,11.4079,0.4563,400.0,1.0,0.4563,0.5437,7,0.0,5M_5N_5T,Small,49,heuristic
42.0,15.4611,0.3681,800.0,1.0,0.3681,0.6319,9,0.0,5M_7N_5T,Small,0,heuristic
34.0,14.7768,0.4346,590.0,1.0,0.4346,0.5654,8,0.0,5M_7N_5T,Small,1,heuristic
35.0,8.1562,0.233,550.0,1.0,0.233,0.767,11,0.0,5M_7N_5T,Small,2,heuristic
47.0,12.3528,0.2628,930.0,1.0,0.2628,0.7372,12,0.0,5M_7N_5T,Small,3,heuristic
39.0,5.1115,0.1311,640.0,1.0,0.1311,0.8689,12,0.0,5M_7N_5T,Small,4,heuristic
31.0,5.4148,0.1747,500.0,1.0,0.1747,0.8253,11,0.0,5M_7N_5T,Small,5,heuristic
33.0,12.8324,0.3889,690.0,1.0,0.3889,0.6111,10,0.0,5M_7N_5T,Small,6,heuristic
36.0,24.757,0.6877,320.0,1.0,0.6877,0.3123,5,0.0,5M_7N_5T,Small,7,heuristic
40.0,10.377,0.2594,680.0,1.0,0.2594,0.7406,9,0.0,5M_7N_5T,Small,8,heuristic
40.0,7.3147,0.1829,540.0,1.0,0.1829,0.8171,10,0.0,5M_7N_5T,Small,9,heuristic
32.0,3.4846,0.1089,760.0,1.0,0.1089,0.8911,12,0.0,5M_7N_5T,Small,10,heuristic
32.0,8.8672,0.2771,480.0,1.0,0.2771,0.7229,8,0.0,5M_7N_5T,Small,11,heuristic
48.0,14.5098,0.3023,440.0,1.0,0.3023,0.6977,10,0.0,5M_7N_5T,Small,12,heuristic
32.0,11.6352,0.3636,730.0,1.0,0.3636,0.6364,10,0.0,5M_7N_5T,Small,13,heuristic
33.0,5.4204,0.1643,570.0,1.0,0.1643,0.8357,11,0.0,5M_7N_5T,Small,14,heuristic
53.0,19.881,0.3751,450.0,1.0,0.3751,0.6249,9,0.0,5M_7N_5T,Small,15,heuristic
37.0,10.4501,0.2824,540.0,1.0,0.2824,0.7176,10,0.0,5M_7N_5T,Small,16,heuristic
31.0,7.5428,0.2433,710.0,1.0,0.2433,0.7567,10,0.0,5M_7N_5T,Small,17,heuristic
31.0,16.2245,0.5234,450.0,1.0,0.5234,0.4766,7,0.0,5M_7N_5T,Small,18,heuristic
27.0,5.9141,0.219,430.0,1.0,0.219,0.781,10,0.0,5M_7N_5T,Small,19,heuristic
35.0,9.4795,0.2708,580.0,1.0,0.2708,0.7292,11,0.0,5M_7N_5T,Small,20,heuristic
49.0,4.9676,0.1014,1130.0,1.0,0.1014,0.8986,14,0.0,5M_7N_5T,Small,21,heuristic
29.0,2.5677,0.0885,790.0,1.0,0.0885,0.9115,13,0.0,5M_7N_5T,Small,22,heuristic
55.0,7.9769,0.145,910.0,1.0,0.145,0.855,13,0.0,5M_7N_5T,Small,23,heuristic
38.0,12.2469,0.3223,580.0,1.0,0.3223,0.6777,10,0.0,5M_7N_5T,Small,24,heuristic
41.0,17.6951,0.4316,670.0,1.0,0.4316,0.5684,10,0.0,5M_7N_5T,Small,25,heuristic
40.0,17.7723,0.4443,440.0,1.0,0.4443,0.5557,8,0.0,5M_7N_5T,Small,26,heuristic
50.0,16.2041,0.3241,640.0,1.0,0.3241,0.6759,10,0.0,5M_7N_5T,Small,27,heuristic
43.0,18.2595,0.4246,400.0,1.0,0.4246,0.5754,6,0.0,5M_7N_5T,Small,28,heuristic
36.0,5.9298,0.1647,830.0,1.0,0.1647,0.8353,12,0.0,5M_7N_5T,Small,29,heuristic
51.0,8.6724,0.17,750.0,1.0,0.17,0.83,11,0.0,5M_7N_5T,Small,30,heuristic
34.0,9.9764,0.2934,770.0,1.0,0.2934,0.7066,10,0.0,5M_7N_5T,Small,31,heuristic
38.0,18.5088,0.4871,350.0,1.0,0.4871,0.5129,6,0.0,5M_7N_5T,Small,32,heuristic
53.0,8.8761,0.1675,570.0,1.0,0.1675,0.8325,11,0.0,5M_7N_5T,Small,33,heuristic
51.0,9.9775,0.1956,640.0,1.0,0.1956,0.8044,10,0.0,5M_7N_5T,Small,34,heuristic
22.0,6.7321,0.306,460.0,1.0,0.306,0.694,8,0.0,5M_7N_5T,Small,35,heuristic
40.0,25.7278,0.6432,340.0,1.0,0.6432,0.3568,5,0.0,5M_7N_5T,Small,36,heuristic
29.0,5.0513,0.1742,410.0,1.0,0.1742,0.8258,11,0.0,5M_7N_5T,Small,37,heuristic
41.0,10.4322,0.2544,360.0,1.0,0.2544,0.7456,11,0.0,5M_7N_5T,Small,38,heuristic
34.0,7.5867,0.2231,920.0,1.0,0.2231,0.7769,11,0.0,5M_7N_5T,Small,39,heuristic
46.0,5.8106,0.1263,830.0,1.0,0.1263,0.8737,13,0.0,5M_7N_5T,Small,40,heuristic
37.0,6.1869,0.1672,560.0,1.0,0.1672,0.8328,11,0.0,5M_7N_5T,Small,41,heuristic
28.0,4.5128,0.1612,780.0,1.0,0.1612,0.8388,11,0.0,5M_7N_5T,Small,42,heuristic
34.0,6.2461,0.1837,650.0,1.0,0.1837,0.8163,10,0.0,5M_7N_5T,Small,43,heuristic
34.0,5.6417,0.1659,820.0,0.82,0.1659,0.8341,11,0.0,5M_7N_5T,Small,44,heuristic
41.0,13.018,0.3175,670.0,1.0,0.3175,0.6825,10,0.0,5M_7N_5T,Small,45,heuristic
26.0,7.4246,0.2856,750.0,1.0,0.2856,0.7144,9,0.0,5M_7N_5T,Small,46,heuristic
38.0,6.1772,0.1626,810.0,1.0,0.1626,0.8374,13,0.0,5M_7N_5T,Small,47,heuristic
42.0,6.7059,0.1597,820.0,1.0,0.1597,0.8403,12,0.0,5M_7N_5T,Small,48,heuristic
33.0,8.353,0.2531,660.0,1.0,0.2531,0.7469,12,0.0,5M_7N_5T,Small,49,heuristic
27.0,0.5894,0.0218,1120.0,1.0,0.0218,0.9782,18,0.0,7M_5N_5T,Small,0,heuristic
20.0,8.4813,0.4241,670.0,1.0,0.4241,0.5759,13,0.0,7M_5N_5T,Small,1,heuristic
38.0,1.1342,0.0298,790.0,1.0,0.0298,0.9702,17,0.0,7M_5N_5T,Small,2,heuristic
27.0,0.5113,0.0189,870.0,0.7768,0.0189,0.9811,14,0.0,7M_5N_5T,Small,3,heuristic
33.0,1.2483,0.0378,890.0,1.0,0.0378,0.9622,15,0.0,7M_5N_5T,Small,4,heuristic
25.0,1.7549,0.0702,820.0,0.9111,0.0702,0.9298,13,0.0,7M_5N_5T,Small,5,heuristic
18.0,1.9317,0.1073,560.0,1.0,0.1073,0.8927,12,0.0,7M_5N_5T,Small,6,heuristic
19.0,0.8151,0.0429,870.0,1.0,0.0429,0.9571,17,0.0,7M_5N_5T,Small,7,heuristic
32.0,6.9864,0.2183,870.0,1.0,0.2183,0.7817,11,0.0,7M_5N_5T,Small,8,heuristic
22.0,2.3504,0.1068,830.0,1.0,0.1068,0.8932,15,0.0,7M_5N_5T,Small,9,heuristic
31.0,2.4359,0.0786,710.0,1.0,0.0786,0.9214,11,0.0,7M_5N_5T,Small,10,heuristic
16.0,2.0163,0.126,860.0,1.0,0.126,0.874,13,0.0,7M_5N_5T,Small,11,heuristic
31.0,2.4418,0.0788,970.0,1.0,0.0788,0.9212,15,0.0,7M_5N_5T,Small,12,heuristic
22.0,1.9201,0.0873,670.0,0.8171,0.0873,0.9127,13,0.0,7M_5N_5T,Small,13,heuristic
30.0,0.8472,0.0282,780.0,1.0,0.0282,0.9718,16,0.0,7M_5N_5T,Small,14,heuristic
20.0,1.7718,0.0886,850.0,1.0,0.0886,0.9114,15,0.0,7M_5N_5T,Small,15,heuristic
29.0,0.7523,0.0259,810.0,0.8438,0.0259,0.9741,15,0.0,7M_5N_5T,Small,16,heuristic
15.0,0.8807,0.0587,530.0,0.8281,0.0587,0.9413,12,0.0,7M_5N_5T,Small,17,heuristic
28.0,1.3893,0.0496,920.0,1.0,0.0496,0.9504,15,0.0,7M_5N_5T,Small,18,heuristic
33.0,1.4385,0.0436,730.0,1.0,0.0436,0.9564,12,0.0,7M_5N_5T,Small,19,heuristic
20.0,2.6955,0.1348,970.0,1.0,0.1348,0.8652,13,0.0,7M_5N_5T,Small,20,heuristic
28.0,5.0225,0.1794,760.0,1.0,0.1794,0.8206,13,0.0,7M_5N_5T,Small,21,heuristic
31.0,1.543,0.0498,930.0,1.0,0.0498,0.9502,14,0.0,7M_5N_5T,Small,22,heuristic
20.0,2.5664,0.1283,960.0,1.0,0.1283,0.8717,15,0.0,7M_5N_5T,Small,23,heuristic
